"Gender";"Year";"Age";"Country";"imputed_flag";"mx";"logmx"
"Female";1952;49;"CHE";"FALSE";0.004845;-5.32980803363941
"Female";1952;50;"CHE";"FALSE";0.004983;-5.30172315968287
"Female";1952;51;"CHE";"FALSE";0.005803;-5.14938025377367
"Female";1952;52;"CHE";"FALSE";0.005593;-5.18623946314269
"Female";1952;53;"CHE";"FALSE";0.006949;-4.96915751464995
"Female";1952;54;"CHE";"FALSE";0.006984;-4.96413346044484
"Female";1952;55;"CHE";"FALSE";0.008469;-4.77134284104268
"Female";1952;56;"CHE";"FALSE";0.009699;-4.63573249157073
"Female";1952;57;"CHE";"FALSE";0.009213;-4.68713974885534
"Female";1952;58;"CHE";"FALSE";0.010336;-4.57212233194189
"Female";1952;59;"CHE";"FALSE";0.011259;-4.48658747016114
"Female";1952;60;"CHE";"FALSE";0.01261;-4.37326512900531
"Female";1952;61;"CHE";"FALSE";0.01227;-4.40059802025932
"Female";1952;62;"CHE";"FALSE";0.014392;-4.2410827823339
"Female";1952;63;"CHE";"FALSE";0.017787;-4.0292874255888
"Female";1952;64;"CHE";"FALSE";0.02056;-3.88440783839517
"Female";1952;65;"CHE";"FALSE";0.020352;-3.89457609182443
"Female";1952;66;"CHE";"FALSE";0.02237;-3.8000345034801
"Female";1952;67;"CHE";"FALSE";0.023951;-3.73174520234343
"Female";1952;68;"CHE";"FALSE";0.029887;-3.51033167573956
"Female";1952;69;"CHE";"FALSE";0.031155;-3.46878053298595
"Female";1952;70;"CHE";"FALSE";0.036371;-3.31398352517288
"Female";1952;71;"CHE";"FALSE";0.040843;-3.19801983098882
"Female";1952;72;"CHE";"FALSE";0.043473;-3.13561522325024
"Female";1952;73;"CHE";"FALSE";0.051747;-2.96138881953154
"Female";1952;74;"CHE";"FALSE";0.055566;-2.89018377556595
"Female";1952;75;"CHE";"FALSE";0.062536;-2.77201288806411
"Female";1952;76;"CHE";"FALSE";0.068578;-2.6797834953939
"Female";1952;77;"CHE";"FALSE";0.08156;-2.50641633327588
"Female";1952;78;"CHE";"FALSE";0.085533;-2.45885301259244
"Female";1952;79;"CHE";"FALSE";0.087464;-2.43652799884995
"Female";1952;80;"CHE";"FALSE";0.110528;-2.20248639645792
"Female";1952;81;"CHE";"FALSE";0.114598;-2.16632492686077
"Female";1952;82;"CHE";"FALSE";0.138661;-1.97572317360861
"Female";1952;83;"CHE";"FALSE";0.150887;-1.8912240666875
"Female";1952;84;"CHE";"FALSE";0.165328;-1.79982389951014
"Female";1952;85;"CHE";"FALSE";0.177812;-1.72702846661623
"Female";1952;86;"CHE";"FALSE";0.186982;-1.67674292344501
"Female";1952;87;"CHE";"FALSE";0.196319;-1.62801439175704
"Female";1952;88;"CHE";"FALSE";0.227289;-1.48153294348737
"Female";1952;89;"CHE";"FALSE";0.249788;-1.38714272087529
"Female";1952;90;"CHE";"FALSE";0.237818;-1.4362496037297
"Female";1952;91;"CHE";"FALSE";0.285063;-1.25504507051044
"Female";1952;92;"CHE";"FALSE";0.341939;-1.07312292040113
"Female";1952;93;"CHE";"FALSE";0.270435;-1.30772350531986
"Female";1952;94;"CHE";"FALSE";0.317181;-1.14828269013274
"Female";1952;95;"CHE";"FALSE";0.308642;-1.17557324980424
"Female";1952;96;"CHE";"FALSE";0.484211;-0.725234516851055
"Female";1952;97;"CHE";"FALSE";0.52459;-0.645138273873634
"Female";1952;98;"CHE";"FALSE";0.347826;-1.05605292424935
"Female";1952;99;"CHE";"FALSE";0.423529;-0.859133290256901
"Female";1953;0;"CHE";"FALSE";0.025878;-3.65436209208838
"Female";1953;1;"CHE";"FALSE";0.002046;-6.1918686114527
"Female";1953;2;"CHE";"FALSE";0.001601;-6.43712684496756
"Female";1953;3;"CHE";"FALSE";0.001063;-6.84666017962233
"Female";1953;4;"CHE";"FALSE";0.000631;-7.36820469542306
"Female";1953;5;"CHE";"FALSE";0.000893;-7.02092397708777
"Female";1953;6;"CHE";"FALSE";0.000554;-7.49834587121699
"Female";1953;7;"CHE";"FALSE";0.000571;-7.46812134830826
"Female";1953;8;"CHE";"FALSE";0.000391;-7.84680299797891
"Female";1953;9;"CHE";"FALSE";0.000423;-7.768138378918
"Female";1953;10;"CHE";"FALSE";0.000388;-7.854505218341
