iteration,score,learning_rate,max_depth,min_child_weight,colsample_bynode,subsample,reg_lambda,reg_alpha,objective,tree_method,eval_metric
369.0,0.4151470004484228,0.01,5,0.0,0.8,0.8,0,1,binary:logistic,hist,logloss
416.0,0.4151596236695285,0.01,5,0.0,1.0,0.8,2,1,binary:logistic,hist,logloss
416.0,0.4151596236695285,0.01,5,0.0001,1.0,0.8,2,1,binary:logistic,hist,logloss
415.0,0.41516951795843954,0.01,5,0.0,1.0,0.8,1,2,binary:logistic,hist,logloss
415.0,0.41516951795843954,0.01,5,0.0001,1.0,0.8,1,2,binary:logistic,hist,logloss
377.0,0.41517341893773996,0.01,5,0.0,1.0,0.8,2,0,binary:logistic,hist,logloss
377.0,0.41517341893773996,0.01,5,0.0001,1.0,0.8,2,0,binary:logistic,hist,logloss
471.0,0.4151856880586172,0.01,4,0.0001,1.0,1.0,2,1,binary:logistic,hist,logloss
471.0,0.4151856880586172,0.01,4,0.0,1.0,1.0,2,1,binary:logistic,hist,logloss
440.0,0.41522859541580637,0.01,4,0.0,1.0,1.0,1,2,binary:logistic,hist,logloss
440.0,0.41522859541580637,0.01,4,0.0001,1.0,1.0,1,2,binary:logistic,hist,logloss
415.0,0.41527852636549767,0.01,5,0.0001,1.0,0.8,0,2,binary:logistic,hist,logloss
415.0,0.41527852636549767,0.01,5,0.0,1.0,0.8,0,2,binary:logistic,hist,logloss
429.0,0.41536825517854775,0.01,4,0.0001,0.8,1.0,0,0,binary:logistic,hist,logloss
429.0,0.41536825517854775,0.01,4,0.0,0.8,1.0,0,0,binary:logistic,hist,logloss
378.0,0.41543206086165296,0.01,5,0.0001,0.8,0.8,1,0,binary:logistic,hist,logloss
378.0,0.41543206086165296,0.01,5,0.0,0.8,0.8,1,0,binary:logistic,hist,logloss
377.0,0.41544173883127816,0.01,5,0.0001,1.0,0.8,1,1,binary:logistic,hist,logloss
377.0,0.41544173883127816,0.01,5,0.0,1.0,0.8,1,1,binary:logistic,hist,logloss
361.0,0.4154849794921002,0.01,5,0.0001,1.0,0.8,0,1,binary:logistic,hist,logloss
361.0,0.4154849794921002,0.01,5,0.0,1.0,0.8,0,1,binary:logistic,hist,logloss
377.0,0.41554491735775834,0.01,5,0.0001,1.0,0.8,1,0,binary:logistic,hist,logloss
377.0,0.41554491735775834,0.01,5,0.0,1.0,0.8,1,0,binary:logistic,hist,logloss
431.0,0.41556071088003643,0.01,4,0.0001,1.0,1.0,0,2,binary:logistic,hist,logloss
431.0,0.41556071088003643,0.01,4,0.0,1.0,1.0,0,2,binary:logistic,hist,logloss
458.0,0.4156951633444006,0.01,4,0.0,1.0,1.0,1,1,binary:logistic,hist,logloss
458.0,0.4156951633444006,0.01,4,0.0001,1.0,1.0,1,1,binary:logistic,hist,logloss
400.0,0.4159571859685175,0.01,6,0.0001,0.8,0.8,2,2,binary:logistic,hist,logloss
400.0,0.4159571859685175,0.01,6,0.0,0.8,0.8,2,2,binary:logistic,hist,logloss
449.0,0.41604805785279797,0.01,4,0.0001,1.0,1.0,2,0,binary:logistic,hist,logloss
449.0,0.41604805785279797,0.01,4,0.0,1.0,1.0,2,0,binary:logistic,hist,logloss
380.0,0.4160600524079152,0.01,5,0.0,0.8,1.0,2,2,binary:logistic,hist,logloss
380.0,0.4160600524079152,0.01,5,0.0001,0.8,1.0,2,2,binary:logistic,hist,logloss
304.0,0.4160625343978802,0.01,5,0.0,0.8,0.8,0,0,binary:logistic,hist,logloss
304.0,0.4160625343978802,0.01,5,0.0001,0.8,0.8,0,0,binary:logistic,hist,logloss
421.0,0.4161506522267717,0.01,4,0.0001,1.0,1.0,0,1,binary:logistic,hist,logloss
421.0,0.4161506522267717,0.01,4,0.0,1.0,1.0,0,1,binary:logistic,hist,logloss
408.0,0.4162297205544593,0.01,4,0.0001,1.0,1.0,1,0,binary:logistic,hist,logloss
408.0,0.4162297205544593,0.01,4,0.0,1.0,1.0,1,0,binary:logistic,hist,logloss
373.0,0.41624450389032547,0.01,6,0.0,0.8,0.8,1,2,binary:logistic,hist,logloss
373.0,0.41624450389032547,0.01,6,0.0001,0.8,0.8,1,2,binary:logistic,hist,logloss
342.0,0.41628951067277686,0.01,5,0.0001,1.0,0.8,0,0,binary:logistic,hist,logloss
342.0,0.41628951067277686,0.01,5,0.0,1.0,0.8,0,0,binary:logistic,hist,logloss
384.0,0.4163442820371073,0.01,5,0.0001,0.8,1.0,1,2,binary:logistic,hist,logloss
